adress,size,year,january,february,march,april,may,june,july,august,semptember,october,november,december
"Baumgarten 1, 6210 Sursee",45,2016,,,,,,,,,689,692,540,582
"Baumgarten 1, 6210 Sursee",45,2017,258.3,122,87.7,47.6,103.4,328.9,392,564,,,,
(json in slack),55.35,,308.22664,333.87463,679.9433,1359.87013,974.59417,1167.96989,1150.56551,1219.73668,1167.50119,477.02331,260.23592,146.74407
"Ueberlandstrasse 2d, 8953 Dietikon", ,2018,308.2,333.8,679.9,1359.8,974.5,1167.9,1150.5,1219.7,1167.5,477,260.3,146.7
